(1,write,in:Write,(BoundedBuffer.java:144),-1)
(1,write,out:Write,(BoundedBuffer.java:145),-1)
(2,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(3,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(2,read,out:Read,(BoundedBuffer.java:166),-1)
(2,read,buffer0:Read,(BoundedBuffer.java:166),-1)
(2,read,out:Read,(BoundedBuffer.java:167),-1)
(2,write,out:Write,(BoundedBuffer.java:167),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
(2,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
(2,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
(2,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(2,read,out:Read,(BoundedBuffer.java:166),-1)
(2,read,buffer1:Read,(BoundedBuffer.java:166),-1)
(2,read,out:Read,(BoundedBuffer.java:167),-1)
(2,write,out:Write,(BoundedBuffer.java:167),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
(2,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
(2,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(3,read,out:Read,(BoundedBuffer.java:166),-1)
(3,read,buffer2:Read,(BoundedBuffer.java:166),-1)
(3,read,out:Read,(BoundedBuffer.java:167),-1)
(3,write,out:Write,(BoundedBuffer.java:167),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
(3,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
(3,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
(2,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(2,read,out:Read,(BoundedBuffer.java:166),-1)
(2,read,buffer3:Read,(BoundedBuffer.java:166),-1)
(2,read,out:Read,(BoundedBuffer.java:167),-1)
(2,write,out:Write,(BoundedBuffer.java:167),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
(2,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
(2,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
(3,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(3,read,out:Read,(BoundedBuffer.java:166),-1)
(3,read,buffer4:Read,(BoundedBuffer.java:166),-1)
(3,read,out:Read,(BoundedBuffer.java:167),-1)
(3,write,out:Write,(BoundedBuffer.java:167),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
(3,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
(3,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
(2,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(2,read,out:Read,(BoundedBuffer.java:166),-1)
(2,read,buffer5:Read,(BoundedBuffer.java:166),-1)
(2,read,out:Read,(BoundedBuffer.java:167),-1)
(2,write,out:Write,(BoundedBuffer.java:167),-1)
(2,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
(2,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
(2,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
(3,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(3,read,out:Read,(BoundedBuffer.java:166),-1)
(3,read,buffer6:Read,(BoundedBuffer.java:166),-1)
(3,read,out:Read,(BoundedBuffer.java:167),-1)
(3,write,out:Write,(BoundedBuffer.java:167),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
(3,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
(3,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
(3,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
(3,read,out:Read,(BoundedBuffer.java:166),-1)
(3,read,buffer7:Read,(BoundedBuffer.java:166),-1)
(3,read,out:Read,(BoundedBuffer.java:167),-1)
(3,write,out:Write,(BoundedBuffer.java:167),-1)
(3,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
(3,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
(3,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
