Reading M-sequence.
lookahead is 5
0:(1,write,in:Write,(BoundedBuffer.java:144),-1)
1:(1,write,out:Write,(BoundedBuffer.java:145),-1)
2:(2,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
3:(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
4:(3,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
5:(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
6:(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
7:(2,read,out:Read,(BoundedBuffer.java:166),-1)
8:(2,read,buffer0:Read,(BoundedBuffer.java:166),-1)
9:(2,read,out:Read,(BoundedBuffer.java:167),-1)
10:(2,write,out:Write,(BoundedBuffer.java:167),-1)
11:(2,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
12:(2,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
13:(2,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
14:(2,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
15:(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
16:(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
17:(2,read,out:Read,(BoundedBuffer.java:166),-1)
18:(2,read,buffer1:Read,(BoundedBuffer.java:166),-1)
19:(2,read,out:Read,(BoundedBuffer.java:167),-1)
20:(2,write,out:Write,(BoundedBuffer.java:167),-1)
21:(2,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
22:(2,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
23:(2,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
24:(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
25:(3,read,out:Read,(BoundedBuffer.java:166),-1)
26:(3,read,buffer2:Read,(BoundedBuffer.java:166),-1)
27:(3,read,out:Read,(BoundedBuffer.java:167),-1)
28:(3,write,out:Write,(BoundedBuffer.java:167),-1)
29:(3,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
30:(3,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
31:(3,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
32:(2,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
33:(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
34:(2,read,out:Read,(BoundedBuffer.java:166),-1)
35:(2,read,buffer3:Read,(BoundedBuffer.java:166),-1)
36:(2,read,out:Read,(BoundedBuffer.java:167),-1)
37:(2,write,out:Write,(BoundedBuffer.java:167),-1)
38:(2,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
39:(2,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
40:(2,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
41:(3,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
42:(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
43:(3,read,out:Read,(BoundedBuffer.java:166),-1)
44:(3,read,buffer4:Read,(BoundedBuffer.java:166),-1)
45:(3,read,out:Read,(BoundedBuffer.java:167),-1)
46:(3,write,out:Write,(BoundedBuffer.java:167),-1)
47:(3,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
48:(3,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
49:(3,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
50:(2,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
51:(2,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
52:(2,read,out:Read,(BoundedBuffer.java:166),-1)
53:(2,read,buffer5:Read,(BoundedBuffer.java:166),-1)
54:(2,read,out:Read,(BoundedBuffer.java:167),-1)
55:(2,write,out:Write,(BoundedBuffer.java:167),-1)
56:(2,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
57:(2,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
58:(2,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
59:(3,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
60:(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
61:(3,read,out:Read,(BoundedBuffer.java:166),-1)
62:(3,read,buffer6:Read,(BoundedBuffer.java:166),-1)
63:(3,read,out:Read,(BoundedBuffer.java:167),-1)
64:(3,write,out:Write,(BoundedBuffer.java:167),-1)
65:(3,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
66:(3,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
67:(3,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
68:(3,entry,Buffer:withdraw,(BoundedBuffer.java:161),-1)
69:(3,read,fullSlots:Read,(BoundedBuffer.java:163),-1)
70:(3,read,out:Read,(BoundedBuffer.java:166),-1)
71:(3,read,buffer7:Read,(BoundedBuffer.java:166),-1)
72:(3,read,out:Read,(BoundedBuffer.java:167),-1)
73:(3,write,out:Write,(BoundedBuffer.java:167),-1)
74:(3,read,fullSlots:Read,(BoundedBuffer.java:168),-1)
75:(3,write,fullSlots:Write,(BoundedBuffer.java:168),-1)
76:(3,exit,Buffer:withdraw,(BoundedBuffer.java:170),-1)
Read replay file
Infeasible Sequence - timeout waiting for event 6 (where first event is at index 0): (read,2,fullSlots:Read,(BoundedBuffer.java:163),-1
